Rhododendron,ponticum,Lebanon,Lower Mountain,-
Rhododendron,ponticum,Lebanon,Medium Mountain,«In arenosis ferrugineis Libani subalpini
Rhododendron,ponticum,Lebanon,Medium Mountain,in monte Sannin
Rhododendron,ponticum,Lebanon,Medium Mountain,in valleHammana  »
Rhododendron,ponticum,Lebanon,Medium Mountain,Broummana
Rhododendron,ponticum,Lebanon,Medium Mountain,Mayrouba
Rhododendron,ponticum,Lebanon,Medium Mountain,Salima
Rhododendron,ponticum,Lebanon,Medium Mountain,Bikfaya
Rhododendron,ponticum,Lebanon,Medium Mountain,Dhour Choueir
Rhododendron,ponticum,Lebanon,Medium Mountain,vers Khan Sannine
Rhododendron,ponticum,Lebanon,Medium Mountain,grèsentre le Col de Zahlé et la base du Sannine
Rhododendron,ponticum,Lebanon,Medium Mountain,grès vers 'Aïn Zhalta
Rhododendron,ponticum,Lebanon,Medium Mountain,Neba Safa
Rhododendron,ponticum,Lebanon,Medium Mountain,Qrayé
Arbutus,unedo,Lebanon,Lower Mountain,Pinèdes au nord de Beyrouth
Arbutus,unedo,Lebanon,Lower Mountain,sous Beit Méri et Broummana
Arbutus,andrachne,Lebanon,Coast,Environs de Beyrouth
Arbutus,andrachne,Lebanon,Lower Mountain,Au-dessus de Jall-ed-Dib
Arbutus,andrachne,Lebanon,Lower Mountain,'Antoura
Arbutus,andrachne,Lebanon,Lower Mountain,Bikfaya
Arbutus,andrachne,Lebanon,Lower Mountain,Beit Khachbo
Arbutus,andrachne,Lebanon,'Akkar,Vers Qpubbayat
Erica,manipuliflora,Lebanon,Coast,Beyrouth
Erica,manipuliflora,Lebanon,Coast,Boùchriyé
Erica,manipuliflora,Lebanon,Lower Mountain,Grès sous Beit Méri et Broum-mana
Erica,manipuliflora,Lebanon,Lower Mountain,Jamhour
Erica,manipuliflora,Lebanon,Lower Mountain,Baabda
Erica,manipuliflora,Lebanon,Lower Mountain,Bikfaya à Dhour Choueir et Mrouj
Erica,manipuliflora,Lebanon,Lower Mountain,N. du Nahr-el-Kelb
Erica,manipuliflora,Lebanon,Lower Mountain,vers 'Antoura
Erica,manipuliflora,Lebanon,Lower Mountain,et
Erica,manipuliflora,Lebanon,Lower Mountain,plus haut
Erica,manipuliflora,Lebanon,Lower Mountain,à 'Aïn Rihaniyé
Erica,manipuliflora,Lebanon,Medium Mountain,Qprnayel
Erica,manipuliflora,Lebanon,Medium Mountain,Khan Sannine
Erica,manipuliflora,Lebanon,Lower Mountain,-
Erica,manipuliflora,Lebanon,Medium Mountain,
Erica,manipuliflora,Lebanon,Medium Mountain,dans la vallée du Nahr Ibrahim. Gorge de la rivière
